,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
1,12654,19094,1106,10175,16364,12654,19094,1106,12749,14867,14587,7649,16728,7338,11259,7150,18687
2,7930,10229,2024,5441,11640,7930,10229,2024,8016,10143,9863,4449,7039,4664,10200,4132,13963
3,7448,8792,4632,5566,8290,7448,8792,4632,11548,8668,8388,7122,5602,3998,11643,3132,12488
4,6361,7706,6142,6237,7203,6361,7706,6142,10461,7793,10401,8526,4516,4669,15970,2940,11613
5,4882,5914,7447,8988,5725,4882,5914,7447,8982,5147,8922,11272,2829,5987,14491,2656,10134
6,6376,3664,16673,10482,3584,6376,3664,16673,10476,4036,10416,12766,1321,10716,15985,5022,11628
7,9696,1332,19181,13825,4697,9696,1332,19181,13820,6204,11632,16109,4671,14059,19329,9195,3931
8,5627,6971,5646,5498,6469,5627,6971,5646,9727,7059,9666,7787,3781,3930,15236,1199,10879
9,3679,4313,8432,7786,3811,3679,4313,8432,7780,2791,7719,10069,1123,8019,13289,3180,8932
10,4444,3348,9197,8550,2438,4444,3348,9197,8544,2435,8483,10833,391,8783,14053,3944,9696
11,5772,2113,10525,9878,1611,5772,2113,10525,9872,3778,7567,12161,1719,10111,15381,5272,5774
12,4261,9514,4524,4532,7900,4261,9514,4524,7233,7635,7355,5374,5807,2964,9895,2099,11455
13,2963,8216,5640,4404,6602,2963,8216,5640,6255,4718,5236,6693,4379,2836,11764,673,9650
14,3119,6055,7900,7225,4440,3119,6055,7900,7220,3390,7159,9509,2718,7459,12729,1904,8371
15,3153,4404,12848,7259,2790,3153,4404,12848,7254,1463,5697,9543,1452,7493,12763,3604,8405
16,4731,2503,10914,8861,795,4731,2503,10914,8855,2962,6751,11144,2108,9094,14364,5661,4968
17,5499,2378,13334,9628,1763,5499,2378,13334,9622,3729,7630,11912,3673,9861,15131,8016,3402
18,8490,1732,18209,12620,3491,8490,1732,18209,12614,5457,10427,14903,5071,12853,18123,9513,2726
19,9381,15821,2408,6902,13091,9381,15821,2408,9476,11594,11314,4376,13455,6941,7632,8135,15414
20,7832,14271,3515,5352,11541,7832,14271,3515,7388,10045,9765,2853,11906,4587,6681,7034,13864
21,7166,13606,2588,4687,10876,7166,13606,2588,6698,9379,9099,2170,11240,3922,7629,5499,13199
22,6306,12745,3461,3823,10015,6306,12745,3461,5836,8518,8238,2350,10380,3046,7814,5034,12338
23,5862,10486,3948,3373,9571,5862,10486,3948,5947,8075,7795,3244,9936,2596,8609,4172,11894
24,4713,9335,5265,2217,8423,4713,9335,5265,6252,6926,6646,4392,6703,1438,8914,2994,10746
25,4175,9377,5743,1685,7885,4175,9377,5743,4696,6388,6108,3977,8249,906,8498,3472,10208
26,2885,8213,6607,3115,6598,2885,8213,6607,5993,6218,5937,5404,5672,1549,11502,1966,10037
27,2064,7374,6478,3970,5760,2064,7374,6478,5173,4748,4472,6603,4892,2404,10681,1907,8568
